,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,0022100001,1610612749,Bucks,MIL,Milwaukee,240:00,117.7,124.5,101.8,102.0,15.8,22.5,0.521,3.13,17.1,0.293,0.824,0.541,7.413,7.8,0.538,0.562,1.0,0.194,105.02,102.0,85.0,102,0.593
1,0022100001,1610612751,Nets,BKN,Brooklyn,240:00,101.8,102.0,117.7,124.5,-15.8,-22.5,0.514,1.46,15.1,0.176,0.707,0.459,12.73,12.7,0.542,0.552,1.0,0.2,105.02,102.0,85.0,102,0.407
2,0022100002,1610612747,Lakers,LAL,Los Angeles,240:00,98.0,101.8,106.0,107.1,-8.0,-5.3,0.467,1.17,14.8,0.189,0.759,0.477,15.469,16.1,0.553,0.551,1.0,0.198,115.28,112.5,93.75,112,0.422
3,0022100002,1610612744,Warriors,GSW,Golden State,240:00,106.0,107.1,98.0,101.8,8.0,5.3,0.732,1.76,19.6,0.241,0.811,0.523,14.886,15.0,0.516,0.57,1.0,0.2,115.28,112.5,93.75,113,0.578
4,0022100003,1610612754,Pacers,IND,Indiana,240:00,111.4,114.0,107.1,116.0,4.3,-2.0,0.69,1.71,19.8,0.255,0.667,0.487,15.517,15.9,0.561,0.607,1.0,0.199,112.22,106.5,88.75,107,0.52
5,0022100003,1610612766,Hornets,CHA,Charlotte,240:00,107.1,116.0,111.4,114.0,-4.3,2.0,0.63,3.63,18.6,0.333,0.745,0.513,6.964,7.5,0.491,0.517,1.0,0.2,112.22,106.5,88.75,106,0.48
6,0022100004,1610612765,Pistons,DET,Detroit,240:00,86.5,89.8,93.4,95.9,-6.9,-6.1,0.472,1.0,13.1,0.263,0.74,0.486,16.713,17.3,0.433,0.46,1.0,0.195,101.16,98.0,81.67,98,0.455
7,0022100004,1610612741,Bulls,CHI,Chicago,240:00,93.4,95.9,86.5,89.8,6.9,6.1,0.486,1.06,14.1,0.26,0.737,0.514,16.899,17.3,0.471,0.508,1.0,0.199,101.16,98.0,81.67,98,0.545
8,0022100005,1610612752,Knicks,NYK,New York,290:00,107.1,110.4,103.0,108.1,4.1,2.3,0.529,1.42,16.6,0.281,0.704,0.516,14.742,15.2,0.567,0.59,1.0,0.197,107.17,103.03,85.86,125,0.521
9,0022100005,1610612738,Celtics,BOS,Boston,290:00,103.0,108.1,107.1,110.4,-4.1,-2.3,0.708,1.89,19.0,0.296,0.719,0.484,13.833,14.5,0.5,0.527,1.0,0.198,107.17,103.03,85.86,124,0.479
10,0022100006,1610612764,Wizards,WAS,Washington,240:00,91.2,92.5,77.8,77.6,13.4,14.9,0.556,0.91,14.9,0.2,0.696,0.5,20.477,20.8,0.475,0.53,1.0,0.197,107.06,106.5,88.75,106,0.7
