,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0022100001,1610612749,Bucks,MIL,Milwaukee,240:00,48,105,0.457,17,45,0.378,14,18,0.778,13,41,54,25,8,9,7,19,127,23.0
1,0022100001,1610612751,Nets,BKN,Brooklyn,240:00,37,84,0.44,17,32,0.531,13,23,0.565,5,39,44,19,3,9,12,17,104,-23.0
2,0022100002,1610612747,Lakers,LAL,Los Angeles,240:00,45,95,0.474,15,42,0.357,9,19,0.474,5,40,45,21,7,4,17,25,114,-7.0
3,0022100002,1610612744,Warriors,GSW,Golden State,240:00,41,93,0.441,14,39,0.359,25,30,0.833,9,41,50,30,9,2,17,18,121,7.0
4,0022100003,1610612754,Pacers,IND,Indiana,240:00,42,90,0.467,17,47,0.362,21,24,0.875,8,43,51,29,2,10,16,24,122,-1.0
5,0022100003,1610612766,Hornets,CHA,Charlotte,240:00,46,107,0.43,13,31,0.419,18,27,0.667,12,34,46,29,9,5,8,21,123,1.0
6,0022100004,1610612765,Pistons,DET,Detroit,240:00,36,90,0.4,6,28,0.214,10,13,0.769,11,36,47,17,7,5,16,16,88,-6.0
7,0022100004,1610612741,Bulls,CHI,Chicago,240:00,37,86,0.43,7,23,0.304,13,15,0.867,9,39,48,18,8,5,17,19,94,6.0
8,0022100005,1610612752,Knicks,NYK,New York,290:00,51,105,0.486,17,45,0.378,19,27,0.704,7,48,55,27,9,10,17,22,138,4.0
9,0022100005,1610612738,Celtics,BOS,Boston,290:00,48,117,0.41,21,57,0.368,17,23,0.739,15,41,56,34,13,9,18,24,134,-4.0
10,0022100006,1610612764,Wizards,WAS,Washington,240:00,36,81,0.444,5,27,0.185,21,26,0.808,7,44,51,20,14,8,21,17,98,15.0
11,0022100006,1610612761,Raptors,TOR,Toronto,240:00,30,97,0.309,7,34,0.206,16,22,0.727,19,35,54,14,10,4,19,21,83,-15.0
12,0022100007,1610612763,Grizzlies,MEM,Memphis,240:00,53,100,0.53,14,33,0.424,12,12,1.0,13,40,53,28,8,8,10,15,132,11.0
13,0022100007,1610612739,Cavaliers,CLE,Cleveland,240:00,47,93,0.505,14,38,0.368,13,18,0.722,7,29,36,38,6,5,10,17,121,-11.0
14,0022100008,1610612750,Timberwolves,MIN,Minnesota,240:00,42,87,0.483,16,38,0.421,24,31,0.774,13,33,46,26,18,13,18,22,124,18.0
15,0022100008,1610612745,Rockets,HOU,Houston,240:00,40,88,0.455,11,33,0.333,15,22,0.682,12,29,41,21,13,3,24,25,106,-18.0
16,0022100009,1610612755,76ers,PHI,Philadelphia,240:00,44,85,0.518,13,25,0.52,16,20,0.8,6,41,47,24,9,5,12,11,117,20.0
17,0022100009,1610612740,Pelicans,NOP,New Orleans,240:00,39,93,0.419,13,30,0.433,6,9,0.667,10,34,44,28,5,6,13,16,97,-20.0
18,0022100010,1610612759,Spurs,SAS,San Antonio,240:00,49,98,0.5,13,30,0.433,12,18,0.667,13,30,43,32,8,3,8,22,123,26.0
19,0022100010,1610612753,Magic,ORL,Orlando,240:00,35,86,0.407,9,29,0.31,18,23,0.783,13,31,44,17,6,6,16,20,97,-26.0
20,0022100011,1610612762,Jazz,UTA,Utah,240:00,40,91,0.44,14,47,0.298,13,15,0.867,12,41,53,18,6,5,10,19,107,21.0
21,0022100011,1610612760,Thunder,OKC,Oklahoma City,240:00,34,91,0.374,7,35,0.2,11,18,0.611,15,35,50,19,4,2,14,15,86,-21.0
22,0022100012,1610612756,Suns,PHX,Phoenix,240:00,36,87,0.414,14,37,0.378,12,17,0.706,11,34,45,23,9,3,18,18,98,-12.0
23,0022100012,1610612743,Nuggets,DEN,Denver,240:00,44,83,0.53,17,39,0.436,5,9,0.556,6,40,46,25,9,1,17,20,110,12.0
24,0022100013,1610612758,Kings,SAC,Sacramento,240:00,42,92,0.457,17,41,0.415,23,29,0.793,7,36,43,24,6,4,10,22,124,3.0
25,0022100013,1610612757,Trail Blazers,POR,Portland,240:00,45,93,0.484,12,35,0.343,19,22,0.864,9,40,49,25,5,5,12,22,121,-3.0
